date,AED,ARS,AUD,BGN,BRL,CAD,CHF,CZK,DKK,EUR,GBP,HRK,HUF,MXN,NOK,NZD,PLN,RON,RSD,RUB,SEK,TRY,TWD,UAH,USD,VND,ZAR,BOB,CLP,CNY,COP,EGP,HKD,IDR,ILS,INR,JPY,KRW,MAD,MYR,PEN,PHP,PKR,SAR,SGD,THB
2016-01-01,3.673,12.9725,1.371,1.8005,3.9597,1.3833,0.9997,24.885,6.8727,0.92,0.6785,7.0354,290.6045,17.2152,8.8502,1.4629,3.9502,4.1669,111.911,73.1563,8.4454,2.917,33.0439,24.0997,1,22551.4,15.4641,6.9306,708.6515,6.5092,3183.75,7.8358,7.7505,13793.15,3.8889,66.1325,120.2065,1176.21,9.9175,4.294,3.4148,46.9679,105.045,3.7538,1.4167,36.065
2016-01-02,3.6722,12.9835,1.371,1.8009,3.9591,1.3833,0.9997,24.8917,6.8727,0.92,0.6785,7.0344,289.88,17.2152,8.8502,1.4629,3.9295,4.1477,111.975,73.1563,8.4602,2.917,33.0518,24.0965,1,22548.5,15.4641,6.9297,708.651,6.5054,3183.35,7.8523,7.7505,13830,3.9002,66.1325,120.2065,1179.96,9.8989,4.294,3.4144,46.862,105.035,3.7538,1.4167,36.065
2016-01-03,3.6722,12.9833,1.371,1.8009,3.962,1.3833,0.9997,24.877,6.8691,0.92,0.6785,7.034,290.207,17.2152,8.8502,1.4629,3.9285,4.1633,111.247,73.43,8.4484,2.9181,32.975,24.125,1,22455,15.4641,6.9,708.6,6.5022,3174.5,7.8523,7.7505,13835,3.9024,66.1325,120.2065,1179.96,9.892,4.2975,3.4025,46.915,104.9,3.7538,1.4167,36.065
2016-01-04,3.673,13.0251,1.3857,1.7999,4.0026,1.3907,0.9997,24.8712,6.8683,0.9203,0.6787,7.0332,290.25,17.3157,8.8552,1.4778,3.9485,4.163,112.316,68.4005,8.4503,2.9448,33.0845,24.0902,1,22455,15.5545,6.9249,716.999,6.5233,3195.18,7.83,7.751,13937.35,3.9089,66.406,119.4845,1185.065,9.9235,4.3439,3.4217,47.1127,105.01,3.7536,1.4232,36.146
2016-01-05,3.673,13.3208,1.3931,1.8133,4.0282,1.3943,1.0057,25.0585,6.9195,0.9271,0.6806,7.0853,291.647,17.3165,8.9027,1.4879,3.9925,4.1945,113.2915,68.4005,8.5515,2.9736,33.1205,24.1436,1,22479.05,15.5861,6.9357,715.884,6.524,3206.975,7.831,7.7513,13869.75,3.9249,66.4948,119.219,1189.135,9.9655,4.3469,3.4328,46.963,105.3325,3.7529,1.4253,36.1307
2016-01-06,3.673,13.7043,1.4081,1.8192,4.0252,1.4052,1.009,25.1336,6.9388,0.9302,0.6827,7.1054,292.2935,17.4182,8.9389,1.5028,4.0248,4.2057,113.4585,70.3839,8.5956,3.0004,33.2738,23.7515,1,22409.55,15.7507,6.9056,714.3595,6.5482,3231.18,7.8299,7.7519,13898.6,3.9384,66.6569,118.6575,1197.535,9.9857,4.4008,3.4152,47.0296,104.9315,3.7529,1.4327,36.2061
2016-01-07,3.6731,13.8669,1.4224,1.8052,4.0372,1.4101,1.0027,24.9383,6.8826,0.9231,0.6847,7.0482,290.5505,17.6289,8.9367,1.507,4.0108,4.176,112.6455,74.7098,8.5448,3.0079,33.3175,23.3185,1,22344.05,15.9873,6.9009,717.927,6.5863,3244.045,7.8295,7.7533,13889.35,3.9375,66.7332,117.968,1198.61,9.9333,4.4001,3.4127,47.072,104.724,3.7565,1.4351,36.2691
2016-01-08,3.673,13.8813,1.4248,1.7964,4.0385,1.4107,0.9972,24.8253,6.8514,0.9184,0.6853,7.0188,289.5055,17.8275,8.8957,1.5125,3.9957,4.1587,112.136,74.8,8.5028,3.0008,33.3343,23.5715,1,22442.85,16.0644,6.8917,723.5995,6.5916,3257.45,7.8299,7.7591,13909.95,3.9261,66.6987,118.045,1201.71,9.9048,4.393,3.4053,47.1465,104.6655,3.7565,1.4365,36.2811
2016-01-09,3.6726,13.8205,1.4381,1.7916,4.0261,1.4171,0.995,24.7861,6.8313,0.9152,0.6888,7.0037,289.7605,17.9349,8.8656,1.5281,3.9976,4.1448,111.75,74.8,8.5,3.0182,33.4449,23.9025,1,22368,16.3153,6.877,728.2865,6.5928,3255.25,7.7937,7.763,13890.2,3.9257,66.836,117.2495,1194.985,9.8336,4.423,3.4071,47.2628,104.395,3.7562,1.4427,36.3316
2016-01-10,3.6726,13.8241,1.4382,1.7916,4.0262,1.4172,0.9951,24.7646,6.8326,0.9152,0.6888,7.0016,289.6945,17.9349,8.8655,1.5282,3.9972,4.1502,111.75,74.8,8.4989,3.0212,33.446,23.9025,1,22368,16.3157,6.877,728.3,6.5832,3255.25,7.7946,7.7629,13890.2,3.9257,66.836,117.238,1194.875,9.8336,4.423,3.4071,47.2655,104.395,3.7562,1.4427,36.33
2016-01-11,3.673,13.8288,1.4326,1.7944,4.0323,1.4164,0.9962,24.7889,6.8441,0.9172,0.6876,7.0128,290.6915,17.9125,8.896,1.5281,4.0022,4.1547,112.057,75.7425,8.5109,3.0308,33.3776,23.6755,1,22418.25,16.3157,6.8955,730.864,6.5596,3262.265,7.824,7.7609,13900.5,3.9318,66.758,117.413,1205.345,9.872,4.3987,3.4162,47.2245,104.684,3.7544,1.4374,36.2939
2016-01-12,3.6729,13.6377,1.4317,1.8007,4.0459,1.4237,1.0008,24.8818,6.8704,0.9208,0.6904,7.0508,292.289,17.8875,8.9144,1.5277,4.0133,4.1728,112.5145,73.5066,8.5317,3.0364,33.4271,23.3239,1,22475.25,16.7593,6.9276,731.291,6.574,3281.83,7.8303,7.7605,13911.45,3.9368,66.827,117.6615,1208.97,9.9178,4.3989,3.4335,47.3594,105.1805,3.7534,1.4373,36.3084
2016-01-13,3.6729,13.5041,1.4268,1.8047,4.0144,1.4255,1.0059,24.9315,6.8844,0.9227,0.6923,7.0737,291.4285,17.8575,8.8561,1.5255,4.0122,4.1801,112.9645,73.3762,8.5387,3.0219,33.3938,23.3756,1,22436.6,16.5131,6.9169,726.7975,6.5756,3288.03,7.8299,7.7602,13872.85,3.9383,66.7882,118.0825,1206.055,9.9301,4.3817,3.4286,47.4188,105.016,3.7514,1.4348,36.2697
2016-01-14,3.673,13.4648,1.4386,1.7965,4.0143,1.4364,1.0059,24.8293,6.8573,0.9188,0.6942,7.0446,290,17.9347,8.8125,1.5442,4.015,4.1676,112.7615,76.4063,8.5294,3.0285,33.5114,23.7142,1,22376.5,16.5617,6.8859,726.3355,6.5875,3262.84,7.8299,7.7751,13804.1,3.94,67.141,117.765,1212.635,9.903,4.3942,3.414,47.7388,104.5535,3.7509,1.4386,36.3146
2016-01-15,3.6729,13.313,1.4458,1.7938,4.0257,1.4448,1.0028,24.7783,6.8438,0.9172,0.6963,7.0298,288.7505,18.0302,8.7968,1.5537,4.0518,4.1604,112.6835,77.4449,8.556,3.0373,33.5757,24.1504,1,22465.95,16.6129,6.9297,731.391,6.5864,3257.69,7.83,7.7897,13947.05,3.95,67.5667,117.481,1214.48,9.8907,4.4037,3.4358,47.8223,105.2205,3.75,1.4396,36.3407
2016-01-16,3.6725,13.2462,1.4568,1.7916,4.0482,1.4538,1.0015,24.7634,6.8393,0.9162,0.7014,7.0171,288.8165,18.2666,8.8337,1.5476,4.1072,4.1562,112.52,77.751,8.5899,3.0484,33.5608,24.1755,1,22393.5,16.7867,6.9031,732.4925,6.581,3237.2,7.8223,7.7949,13976.25,3.9771,67.82,117.0135,1213.96,9.8845,4.425,3.4189,47.835,104.815,3.7493,1.4395,36.3538
2016-01-17,3.6727,13.2197,1.4569,1.7916,4.054,1.4538,1.0015,24.7085,6.8269,0.9161,0.7014,7.0263,288.609,18.266,8.8336,1.5476,4.1057,4.1576,112.5395,77.9,8.5683,3.0497,33.632,24.325,1,22420,16.7863,6.91,730.9,6.5538,3300.9,7.8092,7.7949,13872.5,3.965,67.82,117.013,1211.93,9.9048,4.4125,3.4345,47.89,105,3.7493,1.4395,36.3535
2016-01-18,3.6727,13.2197,1.4534,1.7937,4.0417,1.4532,1.0044,24.8025,6.8491,0.9176,0.7006,7.031,289.412,18.2323,8.8729,1.5494,4.1047,4.1618,112.9465,78.9545,8.5839,3.0394,33.5729,24.3725,1,22420,16.7854,6.9052,730.13,6.5732,3267.005,7.8308,7.797,13937.35,3.9575,67.7179,117.24,1212.21,9.8768,4.4024,3.4233,47.761,104.8625,3.7503,1.4394,36.3139
2016-01-19,3.6729,13.5065,1.4484,1.796,4.0508,1.4508,1.0052,24.8168,6.8528,0.9183,0.7023,7.0359,289.3495,18.1692,8.8557,1.5463,4.0864,4.1627,113.0885,78.8242,8.5636,3.0341,33.5739,24.6445,1,22307.75,16.7545,6.9106,728.54,6.5788,3302.735,7.8301,7.8085,13869.65,3.9599,67.6489,117.6605,1207.365,9.8915,4.3772,3.4317,47.6575,104.901,3.7503,1.4367,36.2873
2016-01-20,3.6729,13.4564,1.4544,1.7908,4.0788,1.4604,1.002,24.7493,6.8331,0.9155,0.706,7.0173,288.657,18.4113,8.848,1.5657,4.0923,4.151,112.6065,80.9361,8.5538,3.0471,33.7216,24.5181,1,22303.85,16.8231,6.8883,728.0105,6.5783,3314.245,7.8292,7.8222,13908.3,3.9718,67.9542,116.8575,1213.52,9.8743,4.3884,3.4263,47.8379,104.58,3.7518,1.4382,36.2949
2016-01-21,3.673,13.4612,1.4428,1.7988,4.1258,1.4433,1.0064,24.863,6.8621,0.9194,0.7055,7.0494,289.251,18.5351,8.8763,1.5501,4.1289,4.1672,112.9715,83.7059,8.5868,3.036,33.6976,24.5562,1,22352.05,16.6981,6.9225,727.182,6.5789,3338.855,7.8298,7.8157,13889,3.9718,67.9009,117.1375,1209.85,9.9023,4.3695,3.4472,47.8718,105.0665,3.7529,1.4374,36.2573
2016-01-22,3.6729,13.5844,1.4258,1.805,4.1353,1.4216,1.011,24.9638,6.8912,0.9232,0.7012,7.0821,288.991,18.5848,8.7691,1.5356,4.1284,4.1824,113.4635,79.4987,8.5737,3.0126,33.563,24.717,1,22389.75,16.5191,6.9314,721.0305,6.5793,3364.22,7.8306,7.799,13840.9,3.9771,67.6029,118.143,1199.835,9.9281,4.2957,3.4573,47.7807,105.2025,3.7533,1.4298,36.0915
2016-01-23,3.6725,13.561,1.4281,1.8116,4.0949,1.4122,1.016,25.0117,6.9067,0.9261,0.7011,7.1033,288.301,18.4429,8.7379,1.5409,4.1299,4.1978,113.8015,78.835,8.5963,3.0025,33.5626,24.7765,1,22464.5,16.4561,6.9314,718.3515,6.579,3330.3,7.8409,7.7989,13802.8,3.9822,67.466,118.776,1198.695,9.9496,4.2715,3.4745,47.7364,105.225,3.7531,1.4298,36.0051
2016-01-24,3.6725,13.5613,1.4281,1.8112,4.0949,1.4121,1.016,25.0125,6.9072,0.9261,0.7011,7.1034,288.3305,18.4419,8.7377,1.5409,4.1298,4.1979,113.88,78.835,8.5959,3.0041,33.56,24.7765,1,22464.5,16.4561,6.9314,720.775,6.5794,3330.3,7.8302,7.7989,13802.8,3.9822,67.466,118.775,1197.68,9.9414,4.2715,3.4745,47.735,105.225,3.7531,1.4298,36.005
